[132, ':DM_hits Gene/Pro: ENSDARG00000a69463_48 Length:703 ---#hits =134 R: 3 NR: 12 ENSDARP00000091900']
[11, ':DM_hits Gene/Pro: ENSDARG00000017741_102 Length:538 ---#hits =12 R: 12 NR: 12 ENSDARP00000121211']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_752 Length:1560 ---#hits =11 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_746 Length:1561 ---#hits =12 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_736 Length:1546 ---#hits =16 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_728 Length:1579 ---#hits =11 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_676 Length:1524 ---#hits =11 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_622 Length:1559 ---#hits =12 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_590 Length:1575 ---#hits =12 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_552 Length:1549 ---#hits =13 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_496 Length:1543 ---#hits =21 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_360 Length:1556 ---#hits =11 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_270 Length:1534 ---#hits =10 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000b39665_192 Length:1597 ---#hits =16 R: 10 NR: 12 ENSDARP00000057980']
[10, ':DM_hits Gene/Pro: ENSDARG00000079835_0 Length:1119 ---#hits =13 R: 12 NR: 11 ENSDARP00000127888']
[10, ':DM_hits Gene/Pro: ENSDARG00000074378_1 Length:392 ---#hits =10 R: 7 NR: 10 ENSDARP00000109347']
[10, ':DM_hits Gene/Pro: ENSDARG00000074118_9 Length:735 ---#hits =10 R: 7 NR: 11 ENSDARP00000061169']
[10, ':DM_hits Gene/Pro: ENSDARG00000074118_77 Length:764 ---#hits =10 R: 7 NR: 11 ENSDARP00000061169']
[10, ':DM_hits Gene/Pro: ENSDARG00000074118_7 Length:706 ---#hits =11 R: 7 NR: 11 ENSDARP00000061169']
[10, ':DM_hits Gene/Pro: ENSDARG00000074118_25 Length:748 ---#hits =10 R: 7 NR: 11 ENSDARP00000061169']
[10, ':DM_hits Gene/Pro: ENSDARG00000074118_15 Length:736 ---#hits =11 R: 7 NR: 11 ENSDARP00000061169']
[10, ':DM_hits Gene/Pro: ENSDARG00000074118_11 Length:744 ---#hits =11 R: 7 NR: 11 ENSDARP00000061169']
