:ENSDARG00000000906_0.txt  ---total Length:383 ---#hits =2 R: 12 NR: 12 ENSDARP00000052659
ENSDARP00000001475 1247  4-1679
ENSDARP00000001475 1390  4-1679
ENSDARP00000001475 1431  4-1679
:ENSDARG00000000966_261.txt  ---total Length:2836 ---#hits =4 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1214  4-1679
ENSDARP00000001475 1273  4-1679
ENSDARP00000001475 1414  4-1679
ENSDARP00000001475 1455  4-1679
:ENSDARG00000000966_262.txt  ---total Length:2815 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1248  4-1679
ENSDARP00000001475 1386  4-1679
ENSDARP00000001475 1427  4-1679
:ENSDARG00000000966_263.txt  ---total Length:2834 ---#hits =4 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1212  4-1679
ENSDARP00000001475 1271  4-1679
ENSDARP00000001475 1412  4-1679
ENSDARP00000001475 1453  4-1679
:ENSDARG00000000966_264.txt  ---total Length:2798 ---#hits =4 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1182  4-1679
ENSDARP00000001475 1241  4-1679
ENSDARP00000001475 1380  4-1679
ENSDARP00000001475 1421  4-1679
:ENSDARG00000000966_265.txt  ---total Length:2814 ---#hits =4 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1148  4-1679
ENSDARP00000001475 1257  4-1679
ENSDARP00000001475 1402  4-1679
ENSDARP00000001475 1443  4-1679
:ENSDARG00000000966_266.txt  ---total Length:2797 ---#hits =5 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 827  4-1679
ENSDARP00000001475 1182  4-1679
ENSDARP00000001475 1241  4-1679
ENSDARP00000001475 1379  4-1679
ENSDARP00000001475 1420  4-1679
:ENSDARG00000000966_267.txt  ---total Length:2812 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1253  4-1679
ENSDARP00000001475 1398  4-1679
ENSDARP00000001475 1439  4-1679
:ENSDARG00000000966_268.txt  ---total Length:2809 ---#hits =4 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1190  4-1679
ENSDARP00000001475 1249  4-1679
ENSDARP00000001475 1387  4-1679
ENSDARP00000001475 1428  4-1679
:ENSDARG00000000966_269.txt  ---total Length:2822 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1265  4-1679
ENSDARP00000001475 1410  4-1679
ENSDARP00000001475 1451  4-1679
:ENSDARG00000000966_280.txt  ---total Length:2812 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1773  1718-1996
ENSDARP00000001475 1936  1718-1996
:ENSDARG00000000966_282.txt  ---total Length:2815 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1769  1718-1996
ENSDARP00000001475 1932  1718-1996
:ENSDARG00000000966_283.txt  ---total Length:2834 ---#hits =1 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1207  4-1679
:ENSDARG00000000966_284.txt  ---total Length:2809 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1769  1718-1996
ENSDARP00000001475 1932  1718-1996
:ENSDARG00000000966_285.txt  ---total Length:2847 ---#hits =1 R: 12 NR: 11 ENSDARP00000001475
:ENSDARG00000000966_286.txt  ---total Length:2818 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1777  1718-1996
ENSDARP00000001475 1940  1718-1996
:ENSDARG00000000966_288.txt  ---total Length:2809 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1765  1718-1996
ENSDARP00000001475 1928  1718-1996
:ENSDARG00000000966_289.txt  ---total Length:2839 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1208  4-1679
:ENSDARG00000001999_0.txt  ---total Length:1287 ---#hits =9 R: 11 NR: 11 ENSDARP00000023956
ENSDARP00000023956 385  301-504
ENSDARP00000023956 731  715-734
ENSDARP00000023956 733  715-734
ENSDARP00000023956 845  756-868
ENSDARP00000023956 847  756-868
ENSDARP00000023956 899  878-932
ENSDARP00000023956 911  878-932
ENSDARP00000023956 972  938-991
ENSDARP00000023956 990  938-991
:ENSDARG00000001999_1.txt  ---total Length:1286 ---#hits =9 R: 11 NR: 11 ENSDARP00000023956
ENSDARP00000023956 384  301-504
ENSDARP00000023956 730  715-734
ENSDARP00000023956 732  715-734
ENSDARP00000023956 844  756-868
ENSDARP00000023956 846  756-868
ENSDARP00000023956 898  878-932
ENSDARP00000023956 910  878-932
ENSDARP00000023956 971  938-991
ENSDARP00000023956 989  938-991
:ENSDARG00000002259_0.txt  ---total Length:369 ---#hits =1 R: 11 NR: 12 ENSDARP00000102637
ENSDARP00000102637 149  25-291
:ENSDARG00000002259_1.txt  ---total Length:365 ---#hits =1 R: 11 NR: 12 ENSDARP00000102637
ENSDARP00000102637 148  25-291
:ENSDARG00000002259_2.txt  ---total Length:382 ---#hits =1 R: 11 NR: 12 ENSDARP00000102637
ENSDARP00000102637 153  25-291
:ENSDARG00000002259_3.txt  ---total Length:396 ---#hits =2 R: 11 NR: 12 ENSDARP00000102637
ENSDARP00000102637 212  25-291
:ENSDARG00000002401_0.txt  ---total Length:378 ---#hits =2 R: 12 NR: 12 ENSDARP00000117350
ENSDARP00000117350 165  2-187
ENSDARP00000117350 292  272-345
:ENSDARG00000002401_1.txt  ---total Length:379 ---#hits =2 R: 12 NR: 12 ENSDARP00000117350
ENSDARP00000117350 165  2-187
ENSDARP00000117350 292  272-345
:ENSDARG00000002787_0.txt  ---total Length:932 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 344  2-776
ENSDARP00000045678 403  2-776
:ENSDARG00000002787_1.txt  ---total Length:924 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 336  2-776
ENSDARP00000045678 395  2-776
:ENSDARG00000002787_2.txt  ---total Length:923 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 335  2-776
ENSDARP00000045678 394  2-776
:ENSDARG00000002787_3.txt  ---total Length:932 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 344  2-776
ENSDARP00000045678 403  2-776
:ENSDARG00000002787_4.txt  ---total Length:923 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 335  2-776
ENSDARP00000045678 394  2-776
:ENSDARG00000002787_5.txt  ---total Length:923 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 335  2-776
ENSDARP00000045678 394  2-776
:ENSDARG00000003941_0.txt  ---total Length:385 ---#hits =14 R: 5 NR: 11 ENSDARP00000111034
ENSDARP00000111034 8  1-346
ENSDARP00000111034 124  1-346
ENSDARP00000111034 149  1-346
ENSDARP00000111034 150  1-346
ENSDARP00000111034 217  1-346
ENSDARP00000111034 259  1-346
ENSDARP00000111034 303  1-346
ENSDARP00000111034 320  1-346
ENSDARP00000111034 321  1-346
ENSDARP00000111034 328  1-346
:ENSDARG00000004415_0.txt  ---total Length:699 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_1.txt  ---total Length:703 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_10.txt  ---total Length:705 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_11.txt  ---total Length:709 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_12.txt  ---total Length:699 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_13.txt  ---total Length:704 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 359  326-408
:ENSDARG00000004415_15.txt  ---total Length:728 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 383  326-408
:ENSDARG00000004415_16.txt  ---total Length:708 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 359  326-408
:ENSDARG00000004415_17.txt  ---total Length:710 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 359  326-408
:ENSDARG00000004415_2.txt  ---total Length:699 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_3.txt  ---total Length:703 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_4.txt  ---total Length:699 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_5.txt  ---total Length:703 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_6.txt  ---total Length:699 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_7.txt  ---total Length:703 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_8.txt  ---total Length:706 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_9.txt  ---total Length:709 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004588_0.txt  ---total Length:507 ---#hits =4 R: 7 NR: 9 ENSDARP00000002932
ENSDARP00000002932 149  7-363
ENSDARP00000002932 150  7-363
ENSDARP00000002932 151  7-363
:ENSDARG00000004724_10.txt  ---total Length:717 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_14.txt  ---total Length:673 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_24.txt  ---total Length:683 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_26.txt  ---total Length:682 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_3.txt  ---total Length:720 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_30.txt  ---total Length:683 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_8.txt  ---total Length:674 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004754_0.txt  ---total Length:883 ---#hits =5 R: 11 NR: 12 ENSDARP00000123727
ENSDARP00000123727 375  3-550
ENSDARP00000123727 452  390-540
:ENSDARG00000004754_1.txt  ---total Length:884 ---#hits =5 R: 11 NR: 12 ENSDARP00000123727
ENSDARP00000123727 375  3-550
ENSDARP00000123727 452  390-540
:ENSDARG00000005612_0.txt  ---total Length:278 ---#hits =19 R: 4 NR: 12 ENSDARP00000011743
ENSDARP00000011743 58  2-239
ENSDARP00000011743 59  2-239
ENSDARP00000011743 61  2-239
ENSDARP00000011743 63  2-239
ENSDARP00000011743 65  2-239
ENSDARP00000011743 66  2-239
ENSDARP00000011743 68  2-239
ENSDARP00000011743 71  2-239
ENSDARP00000011743 78  2-239
ENSDARP00000011743 83  2-239
ENSDARP00000011743 103  2-239
ENSDARP00000011743 106  2-239
ENSDARP00000011743 107  2-239
ENSDARP00000011743 111  2-239
ENSDARP00000011743 117  2-239
ENSDARP00000011743 237  2-239
ENSDARP00000011743 239  2-258
ENSDARP00000011743 245  2-258
ENSDARP00000011743 247  2-258
:ENSDARG00000005612_1.txt  ---total Length:278 ---#hits =20 R: 4 NR: 12 ENSDARP00000011743
ENSDARP00000011743 58  2-239
ENSDARP00000011743 59  2-239
ENSDARP00000011743 61  2-239
ENSDARP00000011743 63  2-239
ENSDARP00000011743 65  2-239
ENSDARP00000011743 66  2-239
ENSDARP00000011743 68  2-239
ENSDARP00000011743 71  2-239
ENSDARP00000011743 78  2-239
ENSDARP00000011743 83  2-239
ENSDARP00000011743 103  2-239
ENSDARP00000011743 106  2-239
ENSDARP00000011743 107  2-239
ENSDARP00000011743 112  2-239
ENSDARP00000011743 113  2-239
ENSDARP00000011743 117  2-239
ENSDARP00000011743 237  2-239
ENSDARP00000011743 239  2-258
ENSDARP00000011743 245  2-258
ENSDARP00000011743 247  2-258
:ENSDARG00000005645_40.txt  ---total Length:1534 ---#hits =93 R: 10 NR: 11 ENSDARP00000003540
ENSDARP00000003540 69  28-73
ENSDARP00000003540 71  28-73
ENSDARP00000003540 100  44-118
ENSDARP00000003540 102  44-118
ENSDARP00000003540 105  44-118
ENSDARP00000003540 107  105-111
ENSDARP00000003540 113  44-118
ENSDARP00000003540 116  44-118
ENSDARP00000003540 122  38-130
ENSDARP00000003540 126  38-130
ENSDARP00000003540 174  156-218
ENSDARP00000003540 179  156-218
ENSDARP00000003540 197  156-218
ENSDARP00000003540 209  156-218
ENSDARP00000003540 210  156-218
ENSDARP00000003540 211  156-218
ENSDARP00000003540 212  156-218
ENSDARP00000003540 310  219-313
ENSDARP00000003540 313  226-320
ENSDARP00000003540 402  314-409
ENSDARP00000003540 413  4-994
ENSDARP00000003540 417  4-994
ENSDARP00000003540 434  417-512
ENSDARP00000003540 449  417-512
ENSDARP00000003540 462  417-512
ENSDARP00000003540 476  417-512
ENSDARP00000003540 478  417-512
ENSDARP00000003540 506  417-512
ENSDARP00000003540 525  518-620
ENSDARP00000003540 547  518-620
ENSDARP00000003540 551  518-620
ENSDARP00000003540 581  518-620
ENSDARP00000003540 613  518-620
ENSDARP00000003540 643  639-719
ENSDARP00000003540 675  643-730
ENSDARP00000003540 676  643-730
ENSDARP00000003540 714  643-730
ENSDARP00000003540 718  643-730
ENSDARP00000003540 720  643-730
ENSDARP00000003540 721  643-730
ENSDARP00000003540 722  643-730
ENSDARP00000003540 739  731-832
ENSDARP00000003540 787  731-832
ENSDARP00000003540 801  731-832
ENSDARP00000003540 913  4-994
ENSDARP00000003540 928  4-994
ENSDARP00000003540 933  4-994
ENSDARP00000003540 936  4-994
ENSDARP00000003540 945  4-994
ENSDARP00000003540 987  4-994
ENSDARP00000003540 1069  1063-1245
ENSDARP00000003540 1071  1063-1245
ENSDARP00000003540 1078  1063-1245
ENSDARP00000003540 1120  1063-1245
ENSDARP00000003540 1123  1063-1245
ENSDARP00000003540 1154  1063-1245
ENSDARP00000003540 1162  1063-1245
ENSDARP00000003540 1163  1063-1245
ENSDARP00000003540 1216  1063-1245
ENSDARP00000003540 1223  1063-1245
ENSDARP00000003540 1227  1063-1245
ENSDARP00000003540 1236  1063-1245
ENSDARP00000003540 1285  1274-1347
ENSDARP00000003540 1288  1274-1347
ENSDARP00000003540 1289  1274-1347
ENSDARP00000003540 1292  1274-1347
ENSDARP00000003540 1295  1274-1347
ENSDARP00000003540 1296  1274-1347
ENSDARP00000003540 1298  1274-1347
ENSDARP00000003540 1306  1274-1347
ENSDARP00000003540 1317  1274-1347
ENSDARP00000003540 1320  1274-1347
ENSDARP00000003540 1322  1274-1347
ENSDARP00000003540 1326  1274-1347
:ENSDARG00000005645_41.txt  ---total Length:1526 ---#hits =82 R: 10 NR: 11 ENSDARP00000003540
ENSDARP00000003540 69  28-73
ENSDARP00000003540 71  28-73
ENSDARP00000003540 100  44-118
ENSDARP00000003540 102  44-118
ENSDARP00000003540 105  44-118
ENSDARP00000003540 107  105-111
ENSDARP00000003540 113  44-118
ENSDARP00000003540 116  44-118
ENSDARP00000003540 122  38-130
ENSDARP00000003540 126  38-130
ENSDARP00000003540 174  156-218
ENSDARP00000003540 197  156-218
ENSDARP00000003540 209  156-218
ENSDARP00000003540 210  156-218
ENSDARP00000003540 211  156-218
ENSDARP00000003540 310  219-313
ENSDARP00000003540 313  226-320
ENSDARP00000003540 402  314-409
ENSDARP00000003540 434  417-512
ENSDARP00000003540 449  417-512
ENSDARP00000003540 476  417-512
ENSDARP00000003540 478  417-512
ENSDARP00000003540 506  417-512
ENSDARP00000003540 525  518-620
ENSDARP00000003540 547  518-620
ENSDARP00000003540 551  518-620
ENSDARP00000003540 581  518-620
ENSDARP00000003540 613  518-620
ENSDARP00000003540 675  643-730
ENSDARP00000003540 676  643-730
ENSDARP00000003540 714  643-730
ENSDARP00000003540 718  643-730
ENSDARP00000003540 720  643-730
ENSDARP00000003540 721  643-730
ENSDARP00000003540 722  643-730
ENSDARP00000003540 739  731-832
ENSDARP00000003540 787  731-832
ENSDARP00000003540 924  4-994
ENSDARP00000003540 929  4-994
ENSDARP00000003540 932  4-994
ENSDARP00000003540 941  4-994
ENSDARP00000003540 983  4-994
ENSDARP00000003540 985  4-994
ENSDARP00000003540 1065  1063-1245
ENSDARP00000003540 1067  1063-1245
ENSDARP00000003540 1074  1063-1245
ENSDARP00000003540 1116  1063-1245
ENSDARP00000003540 1150  1063-1245
ENSDARP00000003540 1158  1063-1245
ENSDARP00000003540 1159  1063-1245
ENSDARP00000003540 1213  1063-1245
ENSDARP00000003540 1220  1063-1245
ENSDARP00000003540 1224  1063-1245
ENSDARP00000003540 1233  1063-1245
ENSDARP00000003540 1282  1274-1347
ENSDARP00000003540 1285  1274-1347
ENSDARP00000003540 1286  1274-1347
ENSDARP00000003540 1289  1274-1347
ENSDARP00000003540 1292  1274-1347
ENSDARP00000003540 1293  1274-1347
ENSDARP00000003540 1295  1274-1347
:ENSDARG00000005645_44.txt  ---total Length:1535 ---#hits =93 R: 10 NR: 11 ENSDARP00000003540
ENSDARP00000003540 70  28-73
ENSDARP00000003540 72  28-73
ENSDARP00000003540 101  44-118
ENSDARP00000003540 103  44-118
ENSDARP00000003540 106  105-111
ENSDARP00000003540 108  105-111
ENSDARP00000003540 114  44-118
ENSDARP00000003540 117  44-118
ENSDARP00000003540 123  38-130
ENSDARP00000003540 127  38-130
ENSDARP00000003540 175  156-218
ENSDARP00000003540 180  156-218
ENSDARP00000003540 198  156-218
ENSDARP00000003540 210  156-218
ENSDARP00000003540 211  156-218
ENSDARP00000003540 212  156-218
ENSDARP00000003540 213  156-218
ENSDARP00000003540 311  219-313
ENSDARP00000003540 314  226-320
ENSDARP00000003540 403  314-409
ENSDARP00000003540 414  4-994
ENSDARP00000003540 418  417-512
ENSDARP00000003540 435  417-512
ENSDARP00000003540 450  417-512
ENSDARP00000003540 463  417-512
ENSDARP00000003540 477  417-512
ENSDARP00000003540 479  417-512
ENSDARP00000003540 507  417-512
ENSDARP00000003540 526  518-620
ENSDARP00000003540 548  518-620
ENSDARP00000003540 552  518-620
ENSDARP00000003540 582  518-620
ENSDARP00000003540 614  518-620
ENSDARP00000003540 644  643-730
ENSDARP00000003540 676  643-730
ENSDARP00000003540 677  643-730
ENSDARP00000003540 715  643-730
ENSDARP00000003540 719  643-730
ENSDARP00000003540 721  643-730
ENSDARP00000003540 722  643-730
ENSDARP00000003540 723  643-730
ENSDARP00000003540 740  731-832
ENSDARP00000003540 788  731-832
ENSDARP00000003540 802  731-832
ENSDARP00000003540 914  4-994
ENSDARP00000003540 929  4-994
ENSDARP00000003540 934  4-994
ENSDARP00000003540 937  4-994
ENSDARP00000003540 946  4-994
ENSDARP00000003540 988  4-994
ENSDARP00000003540 1070  1063-1245
ENSDARP00000003540 1072  1063-1245
ENSDARP00000003540 1079  1063-1245
ENSDARP00000003540 1121  1063-1245
ENSDARP00000003540 1124  1063-1245
ENSDARP00000003540 1155  1063-1245
ENSDARP00000003540 1163  1063-1245
ENSDARP00000003540 1164  1063-1245
ENSDARP00000003540 1217  1063-1245
ENSDARP00000003540 1224  1063-1245
ENSDARP00000003540 1228  1063-1245
ENSDARP00000003540 1237  1063-1245
ENSDARP00000003540 1286  1274-1347
ENSDARP00000003540 1289  1274-1347
ENSDARP00000003540 1290  1274-1347
ENSDARP00000003540 1293  1274-1347
ENSDARP00000003540 1296  1274-1347
ENSDARP00000003540 1297  1274-1347
ENSDARP00000003540 1299  1274-1347
ENSDARP00000003540 1307  1274-1347
ENSDARP00000003540 1318  1274-1347
ENSDARP00000003540 1321  1274-1347
ENSDARP00000003540 1323  1274-1347
ENSDARP00000003540 1333  1274-1347
:ENSDARG00000005645_45.txt  ---total Length:1530 ---#hits =82 R: 10 NR: 11 ENSDARP00000003540
ENSDARP00000003540 73  44-118
ENSDARP00000003540 75  44-118
ENSDARP00000003540 104  44-118
ENSDARP00000003540 106  105-111
ENSDARP00000003540 109  105-111
ENSDARP00000003540 111  44-118
ENSDARP00000003540 117  44-118
ENSDARP00000003540 120  38-130
ENSDARP00000003540 126  38-130
ENSDARP00000003540 130  4-994
ENSDARP00000003540 178  156-218
ENSDARP00000003540 201  156-218
ENSDARP00000003540 213  156-218
ENSDARP00000003540 214  156-218
ENSDARP00000003540 215  156-218
ENSDARP00000003540 314  226-320
ENSDARP00000003540 317  314-409
ENSDARP00000003540 406  314-409
ENSDARP00000003540 438  417-512
ENSDARP00000003540 453  417-512
ENSDARP00000003540 480  417-512
ENSDARP00000003540 482  417-512
ENSDARP00000003540 510  417-512
ENSDARP00000003540 529  518-620
ENSDARP00000003540 551  518-620
ENSDARP00000003540 555  518-620
ENSDARP00000003540 585  518-620
ENSDARP00000003540 617  518-620
ENSDARP00000003540 679  643-730
ENSDARP00000003540 680  643-730
ENSDARP00000003540 718  643-730
ENSDARP00000003540 722  643-730
ENSDARP00000003540 724  643-730
ENSDARP00000003540 725  643-730
ENSDARP00000003540 726  643-730
ENSDARP00000003540 743  731-832
ENSDARP00000003540 791  731-832
ENSDARP00000003540 928  4-994
ENSDARP00000003540 933  4-994
ENSDARP00000003540 936  4-994
ENSDARP00000003540 945  4-994
ENSDARP00000003540 987  4-994
ENSDARP00000003540 989  4-994
ENSDARP00000003540 1069  1063-1245
ENSDARP00000003540 1071  1063-1245
ENSDARP00000003540 1078  1063-1245
ENSDARP00000003540 1120  1063-1245
ENSDARP00000003540 1154  1063-1245
ENSDARP00000003540 1162  1063-1245
ENSDARP00000003540 1163  1063-1245
ENSDARP00000003540 1217  1063-1245
ENSDARP00000003540 1224  1063-1245
ENSDARP00000003540 1228  1063-1245
ENSDARP00000003540 1237  1063-1245
ENSDARP00000003540 1286  1274-1347
ENSDARP00000003540 1289  1274-1347
ENSDARP00000003540 1290  1274-1347
ENSDARP00000003540 1293  1274-1347
ENSDARP00000003540 1296  1274-1347
ENSDARP00000003540 1297  1274-1347
ENSDARP00000003540 1299  1274-1347
:ENSDARG00000005645_56.txt  ---total Length:1533 ---#hits =95 R: 10 NR: 11 ENSDARP00000003540
ENSDARP00000003540 73  44-118
ENSDARP00000003540 75  44-118
ENSDARP00000003540 78  44-118
ENSDARP00000003540 81  44-118
ENSDARP00000003540 88  44-118
ENSDARP00000003540 90  44-118
ENSDARP00000003540 104  44-118
ENSDARP00000003540 106  105-111
ENSDARP00000003540 109  105-111
ENSDARP00000003540 111  44-118
ENSDARP00000003540 117  44-118
ENSDARP00000003540 120  38-130
ENSDARP00000003540 126  38-130
ENSDARP00000003540 130  4-994
ENSDARP00000003540 178  156-218
ENSDARP00000003540 183  156-218
ENSDARP00000003540 201  156-218
ENSDARP00000003540 213  156-218
ENSDARP00000003540 214  156-218
ENSDARP00000003540 215  156-218
ENSDARP00000003540 216  156-218
ENSDARP00000003540 314  226-320
ENSDARP00000003540 317  314-409
ENSDARP00000003540 406  314-409
ENSDARP00000003540 417  4-994
ENSDARP00000003540 421  417-512
ENSDARP00000003540 438  417-512
ENSDARP00000003540 453  417-512
ENSDARP00000003540 466  417-512
ENSDARP00000003540 480  417-512
ENSDARP00000003540 482  417-512
ENSDARP00000003540 510  417-512
ENSDARP00000003540 529  518-620
ENSDARP00000003540 551  518-620
ENSDARP00000003540 555  518-620
ENSDARP00000003540 585  518-620
ENSDARP00000003540 617  518-620
ENSDARP00000003540 647  643-730
ENSDARP00000003540 679  643-730
ENSDARP00000003540 680  643-730
ENSDARP00000003540 718  643-730
ENSDARP00000003540 722  643-730
ENSDARP00000003540 724  643-730
ENSDARP00000003540 725  643-730
ENSDARP00000003540 726  643-730
ENSDARP00000003540 743  731-832
ENSDARP00000003540 791  731-832
ENSDARP00000003540 805  731-832
ENSDARP00000003540 914  4-994
ENSDARP00000003540 929  4-994
ENSDARP00000003540 934  4-994
ENSDARP00000003540 937  4-994
ENSDARP00000003540 946  4-994
ENSDARP00000003540 988  4-994
