:ENSDARG00000000906_0.txt  ---total Length:383 ---#hits =2 R: 12 NR: 12 ENSDARP00000052659
ENSDARP00000001475 1247  4-1679
ENSDARP00000001475 1390  4-1679
ENSDARP00000001475 1431  4-1679
:ENSDARG00000000966_261.txt  ---total Length:2836 ---#hits =4 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1214  4-1679
ENSDARP00000001475 1273  4-1679
ENSDARP00000001475 1414  4-1679
ENSDARP00000001475 1455  4-1679
:ENSDARG00000000966_262.txt  ---total Length:2815 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1248  4-1679
ENSDARP00000001475 1386  4-1679
ENSDARP00000001475 1427  4-1679
:ENSDARG00000000966_263.txt  ---total Length:2834 ---#hits =4 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1212  4-1679
ENSDARP00000001475 1271  4-1679
ENSDARP00000001475 1412  4-1679
ENSDARP00000001475 1453  4-1679
:ENSDARG00000000966_264.txt  ---total Length:2798 ---#hits =4 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1182  4-1679
ENSDARP00000001475 1241  4-1679
ENSDARP00000001475 1380  4-1679
ENSDARP00000001475 1421  4-1679
:ENSDARG00000000966_265.txt  ---total Length:2814 ---#hits =4 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1148  4-1679
ENSDARP00000001475 1257  4-1679
ENSDARP00000001475 1402  4-1679
ENSDARP00000001475 1443  4-1679
:ENSDARG00000000966_266.txt  ---total Length:2797 ---#hits =5 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 827  4-1679
ENSDARP00000001475 1182  4-1679
ENSDARP00000001475 1241  4-1679
ENSDARP00000001475 1379  4-1679
ENSDARP00000001475 1420  4-1679
:ENSDARG00000000966_267.txt  ---total Length:2812 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1253  4-1679
ENSDARP00000001475 1398  4-1679
ENSDARP00000001475 1439  4-1679
:ENSDARG00000000966_268.txt  ---total Length:2809 ---#hits =4 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1190  4-1679
ENSDARP00000001475 1249  4-1679
ENSDARP00000001475 1387  4-1679
ENSDARP00000001475 1428  4-1679
:ENSDARG00000000966_269.txt  ---total Length:2822 ---#hits =3 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1265  4-1679
ENSDARP00000001475 1410  4-1679
ENSDARP00000001475 1451  4-1679
:ENSDARG00000000966_280.txt  ---total Length:2812 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1773  1718-1996
ENSDARP00000001475 1936  1718-1996
:ENSDARG00000000966_282.txt  ---total Length:2815 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1769  1718-1996
ENSDARP00000001475 1932  1718-1996
:ENSDARG00000000966_283.txt  ---total Length:2834 ---#hits =1 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1207  4-1679
:ENSDARG00000000966_284.txt  ---total Length:2809 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1769  1718-1996
ENSDARP00000001475 1932  1718-1996
:ENSDARG00000000966_285.txt  ---total Length:2847 ---#hits =1 R: 12 NR: 11 ENSDARP00000001475
:ENSDARG00000000966_286.txt  ---total Length:2818 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1777  1718-1996
ENSDARP00000001475 1940  1718-1996
:ENSDARG00000000966_288.txt  ---total Length:2809 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1765  1718-1996
ENSDARP00000001475 1928  1718-1996
:ENSDARG00000000966_289.txt  ---total Length:2839 ---#hits =2 R: 12 NR: 11 ENSDARP00000001475
ENSDARP00000001475 1208  4-1679
:ENSDARG00000001999_0.txt  ---total Length:1287 ---#hits =9 R: 11 NR: 11 ENSDARP00000023956
ENSDARP00000023956 385  301-504
ENSDARP00000023956 731  715-734
ENSDARP00000023956 733  715-734
ENSDARP00000023956 845  756-868
ENSDARP00000023956 847  756-868
ENSDARP00000023956 899  878-932
ENSDARP00000023956 911  878-932
ENSDARP00000023956 972  938-991
ENSDARP00000023956 990  938-991
:ENSDARG00000001999_1.txt  ---total Length:1286 ---#hits =9 R: 11 NR: 11 ENSDARP00000023956
ENSDARP00000023956 384  301-504
ENSDARP00000023956 730  715-734
ENSDARP00000023956 732  715-734
ENSDARP00000023956 844  756-868
ENSDARP00000023956 846  756-868
ENSDARP00000023956 898  878-932
ENSDARP00000023956 910  878-932
ENSDARP00000023956 971  938-991
ENSDARP00000023956 989  938-991
:ENSDARG00000002259_0.txt  ---total Length:369 ---#hits =1 R: 11 NR: 12 ENSDARP00000102637
ENSDARP00000102637 149  25-291
:ENSDARG00000002259_1.txt  ---total Length:365 ---#hits =1 R: 11 NR: 12 ENSDARP00000102637
ENSDARP00000102637 148  25-291
:ENSDARG00000002259_2.txt  ---total Length:382 ---#hits =1 R: 11 NR: 12 ENSDARP00000102637
ENSDARP00000102637 153  25-291
:ENSDARG00000002259_3.txt  ---total Length:396 ---#hits =2 R: 11 NR: 12 ENSDARP00000102637
ENSDARP00000102637 212  25-291
:ENSDARG00000002336_0.txt  ---total Length:684 ---#hits =296 R: 4 NR: 0 ENSDARP00000018643
ENSDARP00000018643 3  1-504
ENSDARP00000018643 22  1-504
ENSDARP00000018643 23  1-504
ENSDARP00000018643 24  1-504
ENSDARP00000018643 25  1-504
ENSDARP00000018643 26  1-504
ENSDARP00000018643 30  1-504
ENSDARP00000018643 31  1-504
ENSDARP00000018643 37  1-504
ENSDARP00000018643 38  1-504
ENSDARP00000018643 40  1-504
ENSDARP00000018643 41  1-504
ENSDARP00000018643 47  1-504
ENSDARP00000018643 50  1-504
ENSDARP00000018643 51  1-504
ENSDARP00000018643 52  1-504
ENSDARP00000018643 54  1-504
ENSDARP00000018643 55  1-504
ENSDARP00000018643 56  1-504
ENSDARP00000018643 57  1-504
ENSDARP00000018643 59  1-504
ENSDARP00000018643 64  1-504
ENSDARP00000018643 67  1-504
ENSDARP00000018643 68  1-504
ENSDARP00000018643 69  1-504
ENSDARP00000018643 71  1-504
ENSDARP00000018643 75  1-504
ENSDARP00000018643 88  1-504
ENSDARP00000018643 93  1-504
ENSDARP00000018643 94  1-504
ENSDARP00000018643 95  1-504
ENSDARP00000018643 98  1-504
ENSDARP00000018643 99  1-504
ENSDARP00000018643 100  1-504
ENSDARP00000018643 101  1-504
ENSDARP00000018643 105  1-504
ENSDARP00000018643 106  1-504
ENSDARP00000018643 108  1-504
ENSDARP00000018643 110  1-504
ENSDARP00000018643 118  1-504
ENSDARP00000018643 120  1-504
ENSDARP00000018643 127  1-504
ENSDARP00000018643 130  1-504
ENSDARP00000018643 131  1-504
ENSDARP00000018643 133  1-504
ENSDARP00000018643 135  1-504
ENSDARP00000018643 138  136-198
ENSDARP00000018643 141  136-198
ENSDARP00000018643 142  136-198
ENSDARP00000018643 147  136-198
ENSDARP00000018643 150  136-198
ENSDARP00000018643 153  136-198
ENSDARP00000018643 156  136-198
ENSDARP00000018643 157  136-198
ENSDARP00000018643 159  136-198
ENSDARP00000018643 161  136-198
ENSDARP00000018643 162  136-198
ENSDARP00000018643 165  136-198
ENSDARP00000018643 167  136-198
ENSDARP00000018643 170  136-198
ENSDARP00000018643 171  136-198
ENSDARP00000018643 174  136-198
ENSDARP00000018643 175  136-198
ENSDARP00000018643 176  136-198
ENSDARP00000018643 177  136-198
ENSDARP00000018643 179  136-198
ENSDARP00000018643 182  136-198
ENSDARP00000018643 183  136-198
ENSDARP00000018643 186  136-198
ENSDARP00000018643 187  136-198
ENSDARP00000018643 190  136-198
ENSDARP00000018643 192  136-198
ENSDARP00000018643 194  136-198
ENSDARP00000018643 197  136-198
ENSDARP00000018643 198  1-504
ENSDARP00000018643 200  199-232
ENSDARP00000018643 202  199-232
ENSDARP00000018643 203  199-232
ENSDARP00000018643 208  199-232
ENSDARP00000018643 211  199-232
ENSDARP00000018643 212  199-232
ENSDARP00000018643 213  199-232
ENSDARP00000018643 217  199-232
ENSDARP00000018643 219  199-232
ENSDARP00000018643 222  199-232
ENSDARP00000018643 223  199-232
ENSDARP00000018643 225  199-232
ENSDARP00000018643 227  199-232
ENSDARP00000018643 228  199-232
ENSDARP00000018643 230  199-232
ENSDARP00000018643 231  199-232
ENSDARP00000018643 233  220-234
ENSDARP00000018643 235  233-263
ENSDARP00000018643 236  233-263
ENSDARP00000018643 237  233-263
ENSDARP00000018643 239  233-263
ENSDARP00000018643 243  233-263
ENSDARP00000018643 244  233-263
ENSDARP00000018643 245  233-263
ENSDARP00000018643 247  233-263
ENSDARP00000018643 248  233-263
ENSDARP00000018643 250  233-263
ENSDARP00000018643 253  233-263
ENSDARP00000018643 256  233-263
ENSDARP00000018643 258  256-300
ENSDARP00000018643 260  256-300
ENSDARP00000018643 261  256-300
ENSDARP00000018643 262  256-300
ENSDARP00000018643 263  256-300
ENSDARP00000018643 264  256-300
ENSDARP00000018643 265  256-300
ENSDARP00000018643 267  256-300
ENSDARP00000018643 268  256-300
ENSDARP00000018643 270  256-300
ENSDARP00000018643 271  256-300
ENSDARP00000018643 272  256-300
ENSDARP00000018643 274  256-300
ENSDARP00000018643 275  256-300
ENSDARP00000018643 276  256-300
ENSDARP00000018643 277  256-300
ENSDARP00000018643 279  256-300
ENSDARP00000018643 280  256-300
ENSDARP00000018643 282  256-300
ENSDARP00000018643 284  256-300
ENSDARP00000018643 286  256-300
ENSDARP00000018643 288  256-300
ENSDARP00000018643 289  256-300
ENSDARP00000018643 290  256-300
ENSDARP00000018643 292  256-300
ENSDARP00000018643 293  256-300
ENSDARP00000018643 294  256-300
ENSDARP00000018643 296  256-300
ENSDARP00000018643 298  256-300
ENSDARP00000018643 301  265-303
ENSDARP00000018643 304  301-342
ENSDARP00000018643 307  301-342
ENSDARP00000018643 308  301-342
ENSDARP00000018643 312  301-342
ENSDARP00000018643 313  301-342
ENSDARP00000018643 314  301-342
ENSDARP00000018643 316  301-342
ENSDARP00000018643 317  301-342
ENSDARP00000018643 318  301-342
ENSDARP00000018643 319  301-342
ENSDARP00000018643 321  301-342
ENSDARP00000018643 322  301-342
ENSDARP00000018643 323  301-342
ENSDARP00000018643 324  301-342
ENSDARP00000018643 325  301-342
ENSDARP00000018643 327  301-342
ENSDARP00000018643 330  301-342
ENSDARP00000018643 331  301-342
ENSDARP00000018643 332  301-342
ENSDARP00000018643 334  301-342
ENSDARP00000018643 336  301-342
ENSDARP00000018643 337  301-342
ENSDARP00000018643 339  301-342
ENSDARP00000018643 340  301-342
ENSDARP00000018643 341  301-342
ENSDARP00000018643 342  275-471
ENSDARP00000018643 343  275-471
ENSDARP00000018643 344  343-380
ENSDARP00000018643 345  343-380
ENSDARP00000018643 348  346-380
ENSDARP00000018643 349  346-380
ENSDARP00000018643 350  346-380
ENSDARP00000018643 351  346-380
ENSDARP00000018643 352  346-380
ENSDARP00000018643 354  346-380
ENSDARP00000018643 355  346-380
ENSDARP00000018643 356  346-380
ENSDARP00000018643 357  346-380
ENSDARP00000018643 358  346-380
ENSDARP00000018643 359  346-380
ENSDARP00000018643 360  346-380
ENSDARP00000018643 361  346-380
ENSDARP00000018643 362  346-380
ENSDARP00000018643 363  346-380
ENSDARP00000018643 365  346-380
ENSDARP00000018643 369  346-380
ENSDARP00000018643 370  346-380
ENSDARP00000018643 372  346-380
ENSDARP00000018643 374  346-380
ENSDARP00000018643 376  346-380
ENSDARP00000018643 377  346-380
ENSDARP00000018643 380  369-495
ENSDARP00000018643 382  381-416
ENSDARP00000018643 383  381-416
ENSDARP00000018643 384  381-416
ENSDARP00000018643 385  381-416
ENSDARP00000018643 386  381-416
ENSDARP00000018643 387  381-416
ENSDARP00000018643 391  381-416
ENSDARP00000018643 392  381-416
ENSDARP00000018643 396  381-416
ENSDARP00000018643 397  381-416
ENSDARP00000018643 399  381-416
ENSDARP00000018643 403  381-416
ENSDARP00000018643 404  381-416
ENSDARP00000018643 405  381-416
ENSDARP00000018643 412  381-416
ENSDARP00000018643 414  381-416
ENSDARP00000018643 417  382-418
ENSDARP00000018643 418  417-453
ENSDARP00000018643 420  417-453
ENSDARP00000018643 423  417-453
ENSDARP00000018643 424  417-453
ENSDARP00000018643 426  417-453
ENSDARP00000018643 427  417-453
ENSDARP00000018643 428  417-453
ENSDARP00000018643 429  417-453
ENSDARP00000018643 430  417-453
ENSDARP00000018643 434  417-453
ENSDARP00000018643 435  417-453
ENSDARP00000018643 437  417-453
ENSDARP00000018643 439  417-453
ENSDARP00000018643 440  417-453
ENSDARP00000018643 441  417-453
ENSDARP00000018643 443  417-453
ENSDARP00000018643 446  417-453
ENSDARP00000018643 449  417-453
ENSDARP00000018643 450  417-453
ENSDARP00000018643 452  417-453
ENSDARP00000018643 454  420-456
ENSDARP00000018643 455  454-495
ENSDARP00000018643 460  454-495
ENSDARP00000018643 461  454-495
ENSDARP00000018643 468  454-495
ENSDARP00000018643 472  454-495
ENSDARP00000018643 473  454-495
ENSDARP00000018643 475  454-495
ENSDARP00000018643 477  454-495
ENSDARP00000018643 479  454-495
ENSDARP00000018643 482  454-495
ENSDARP00000018643 483  454-495
ENSDARP00000018643 485  454-495
ENSDARP00000018643 487  454-495
ENSDARP00000018643 488  454-495
ENSDARP00000018643 490  454-495
ENSDARP00000018643 493  454-495
ENSDARP00000018643 495  1-504
ENSDARP00000018643 496  1-504
ENSDARP00000018643 499  1-504
ENSDARP00000018643 500  1-504
ENSDARP00000018643 513  511-533
ENSDARP00000018643 514  511-533
ENSDARP00000018643 515  511-533
ENSDARP00000018643 516  511-533
ENSDARP00000018643 523  511-533
ENSDARP00000018643 529  511-533
ENSDARP00000018643 530  511-533
ENSDARP00000018643 531  511-533
ENSDARP00000018643 539  538-575
ENSDARP00000018643 546  538-575
ENSDARP00000018643 549  538-575
ENSDARP00000018643 554  538-575
ENSDARP00000018643 555  538-575
ENSDARP00000018643 561  538-575
ENSDARP00000018643 563  538-575
ENSDARP00000018643 565  538-575
ENSDARP00000018643 569  538-575
ENSDARP00000018643 570  538-575
ENSDARP00000018643 574  538-575
:ENSDARG00000002401_0.txt  ---total Length:378 ---#hits =2 R: 12 NR: 12 ENSDARP00000117350
ENSDARP00000117350 165  2-187
ENSDARP00000117350 292  272-345
:ENSDARG00000002401_1.txt  ---total Length:379 ---#hits =2 R: 12 NR: 12 ENSDARP00000117350
ENSDARP00000117350 165  2-187
ENSDARP00000117350 292  272-345
:ENSDARG00000002787_0.txt  ---total Length:932 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 344  2-776
ENSDARP00000045678 403  2-776
:ENSDARG00000002787_1.txt  ---total Length:924 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 336  2-776
ENSDARP00000045678 395  2-776
:ENSDARG00000002787_2.txt  ---total Length:923 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 335  2-776
ENSDARP00000045678 394  2-776
:ENSDARG00000002787_3.txt  ---total Length:932 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 344  2-776
ENSDARP00000045678 403  2-776
:ENSDARG00000002787_4.txt  ---total Length:923 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 335  2-776
ENSDARP00000045678 394  2-776
:ENSDARG00000002787_5.txt  ---total Length:923 ---#hits =2 R: 10 NR: 12 ENSDARP00000045678
ENSDARP00000045678 335  2-776
ENSDARP00000045678 394  2-776
:ENSDARG00000003941_0.txt  ---total Length:385 ---#hits =14 R: 5 NR: 11 ENSDARP00000111034
ENSDARP00000111034 8  1-346
ENSDARP00000111034 124  1-346
ENSDARP00000111034 149  1-346
ENSDARP00000111034 150  1-346
ENSDARP00000111034 217  1-346
ENSDARP00000111034 259  1-346
ENSDARP00000111034 303  1-346
ENSDARP00000111034 320  1-346
ENSDARP00000111034 321  1-346
ENSDARP00000111034 328  1-346
:ENSDARG00000004256_0.txt  ---total Length:392 ---#hits =159 R: 9 NR: 0 ENSDARP00000012233
ENSDARP00000012233 2  1-353
ENSDARP00000012233 3  1-353
ENSDARP00000012233 4  1-353
ENSDARP00000012233 5  1-353
ENSDARP00000012233 6  1-353
ENSDARP00000012233 7  1-353
ENSDARP00000012233 8  1-353
ENSDARP00000012233 9  1-353
ENSDARP00000012233 10  1-353
ENSDARP00000012233 11  1-353
ENSDARP00000012233 12  1-353
ENSDARP00000012233 13  1-353
ENSDARP00000012233 14  1-353
ENSDARP00000012233 15  1-353
ENSDARP00000012233 16  1-353
ENSDARP00000012233 17  1-353
ENSDARP00000012233 18  1-353
ENSDARP00000012233 19  1-353
ENSDARP00000012233 20  1-353
ENSDARP00000012233 21  1-353
ENSDARP00000012233 22  1-353
ENSDARP00000012233 23  1-353
ENSDARP00000012233 61  1-353
ENSDARP00000012233 62  1-353
ENSDARP00000012233 64  1-353
ENSDARP00000012233 67  1-353
ENSDARP00000012233 68  1-353
ENSDARP00000012233 69  1-353
ENSDARP00000012233 71  1-353
ENSDARP00000012233 73  1-353
ENSDARP00000012233 78  1-353
ENSDARP00000012233 79  1-353
ENSDARP00000012233 82  1-353
ENSDARP00000012233 84  1-353
ENSDARP00000012233 85  1-353
ENSDARP00000012233 87  1-353
ENSDARP00000012233 91  1-353
ENSDARP00000012233 93  1-353
ENSDARP00000012233 95  1-353
ENSDARP00000012233 97  1-353
ENSDARP00000012233 98  1-353
ENSDARP00000012233 100  1-353
ENSDARP00000012233 102  1-353
ENSDARP00000012233 104  1-353
ENSDARP00000012233 106  1-353
ENSDARP00000012233 107  1-353
ENSDARP00000012233 114  1-353
ENSDARP00000012233 118  1-353
ENSDARP00000012233 121  1-353
ENSDARP00000012233 122  1-353
ENSDARP00000012233 123  1-353
ENSDARP00000012233 124  1-353
ENSDARP00000012233 125  1-353
ENSDARP00000012233 127  1-353
ENSDARP00000012233 131  1-353
ENSDARP00000012233 132  1-353
ENSDARP00000012233 134  1-353
ENSDARP00000012233 136  1-353
ENSDARP00000012233 138  1-353
ENSDARP00000012233 142  1-353
ENSDARP00000012233 146  1-353
ENSDARP00000012233 147  1-353
ENSDARP00000012233 148  1-353
ENSDARP00000012233 151  1-353
ENSDARP00000012233 154  1-353
ENSDARP00000012233 160  1-353
ENSDARP00000012233 161  1-353
ENSDARP00000012233 164  1-353
ENSDARP00000012233 165  1-353
ENSDARP00000012233 166  1-353
ENSDARP00000012233 167  1-353
ENSDARP00000012233 170  1-353
ENSDARP00000012233 187  1-353
ENSDARP00000012233 190  1-353
ENSDARP00000012233 199  1-353
ENSDARP00000012233 200  1-353
ENSDARP00000012233 201  1-353
ENSDARP00000012233 218  1-353
ENSDARP00000012233 220  1-353
ENSDARP00000012233 238  1-353
ENSDARP00000012233 246  1-353
ENSDARP00000012233 247  1-353
ENSDARP00000012233 248  1-353
ENSDARP00000012233 249  1-353
ENSDARP00000012233 250  1-353
ENSDARP00000012233 251  1-353
ENSDARP00000012233 252  1-353
ENSDARP00000012233 253  1-353
ENSDARP00000012233 254  1-353
ENSDARP00000012233 255  1-353
ENSDARP00000012233 257  1-353
ENSDARP00000012233 258  1-353
ENSDARP00000012233 259  1-353
ENSDARP00000012233 260  1-353
ENSDARP00000012233 261  1-353
ENSDARP00000012233 262  1-353
ENSDARP00000012233 264  1-353
ENSDARP00000012233 270  1-353
ENSDARP00000012233 274  1-353
ENSDARP00000012233 275  1-353
ENSDARP00000012233 276  1-353
ENSDARP00000012233 278  1-353
ENSDARP00000012233 279  1-353
ENSDARP00000012233 281  1-353
ENSDARP00000012233 284  1-353
ENSDARP00000012233 287  1-353
ENSDARP00000012233 290  1-353
ENSDARP00000012233 292  1-353
ENSDARP00000012233 294  1-353
ENSDARP00000012233 295  1-353
ENSDARP00000012233 297  1-353
ENSDARP00000012233 299  1-353
ENSDARP00000012233 303  1-353
ENSDARP00000012233 310  1-353
ENSDARP00000012233 312  1-353
ENSDARP00000012233 313  1-353
ENSDARP00000012233 316  1-353
ENSDARP00000012233 317  1-353
ENSDARP00000012233 318  1-353
ENSDARP00000012233 319  1-353
ENSDARP00000012233 320  1-353
ENSDARP00000012233 323  1-353
ENSDARP00000012233 327  1-353
ENSDARP00000012233 328  1-353
ENSDARP00000012233 330  1-353
ENSDARP00000012233 331  1-353
ENSDARP00000012233 333  1-353
ENSDARP00000012233 334  1-353
ENSDARP00000012233 336  1-353
ENSDARP00000012233 342  1-353
ENSDARP00000012233 343  1-353
ENSDARP00000012233 346  1-353
ENSDARP00000012233 348  1-353
ENSDARP00000012233 350  1-353
ENSDARP00000012233 351  1-353
ENSDARP00000012233 352  1-353
:ENSDARG00000004415_0.txt  ---total Length:699 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_1.txt  ---total Length:703 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_10.txt  ---total Length:705 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_11.txt  ---total Length:709 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_12.txt  ---total Length:699 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_13.txt  ---total Length:704 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 359  326-408
:ENSDARG00000004415_15.txt  ---total Length:728 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 383  326-408
:ENSDARG00000004415_16.txt  ---total Length:708 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 359  326-408
:ENSDARG00000004415_17.txt  ---total Length:710 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 359  326-408
:ENSDARG00000004415_2.txt  ---total Length:699 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_3.txt  ---total Length:703 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_4.txt  ---total Length:699 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_5.txt  ---total Length:703 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_6.txt  ---total Length:699 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_7.txt  ---total Length:703 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_8.txt  ---total Length:706 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004415_9.txt  ---total Length:709 ---#hits =1 R: 12 NR: 11 ENSDARP00000127119
ENSDARP00000127119 358  326-408
:ENSDARG00000004588_0.txt  ---total Length:507 ---#hits =4 R: 7 NR: 9 ENSDARP00000002932
ENSDARP00000002932 149  7-363
ENSDARP00000002932 150  7-363
ENSDARP00000002932 151  7-363
:ENSDARG00000004724_10.txt  ---total Length:717 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_14.txt  ---total Length:673 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_24.txt  ---total Length:683 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_26.txt  ---total Length:682 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_3.txt  ---total Length:720 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_30.txt  ---total Length:683 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004724_8.txt  ---total Length:674 ---#hits =1 R: 11 NR: 12 ENSDARP00000118795
:ENSDARG00000004754_0.txt  ---total Length:883 ---#hits =5 R: 11 NR: 12 ENSDARP00000123727
ENSDARP00000123727 375  3-550
ENSDARP00000123727 452  390-540
